ano,cobertura,doses,vacina_id,estado_uf,estado_cod_ibge
2010,90.13,19256,1,AC,12
2010,94.57,15578,2,AC,12
2010,94.35,15368,6,AC,12
2010,93.78,15726,8,AC,12
2010,0.86,68,10,AC,12
2010,109.85,87714,1,AM,13
2010,100.41,71222,2,AM,13
2010,89.66,67145,6,AM,13
2010,93.72,70130,8,AM,13
2010,1.15,947,10,AM,13
2010,3.2,5737,13,AM,13
2010,113.98,10908,1,RR,14
2010,93.06,9200,2,RR,14
2010,86.58,8744,6,RR,14
2010,90.41,8753,8,RR,14
2010,5.45,490,10,RR,14
2010,113.91,177783,1,PA,15
2010,108.48,144554,2,PA,15
2010,104.8,143762,6,PA,15
2010,106.8,143543,8,PA,15
2010,5.15,628,10,PA,15
2010,3.3,979,13,PA,15
2010,101.17,16539,1,AP,16
2010,117.16,13357,2,AP,16
2010,100.55,11777,6,AP,16
2010,111.93,12887,8,AP,16
2010,0.4,35,10,AP,16
2010,99.11,25117,1,TO,17
2010,106.48,24272,2,TO,17
2010,101.65,23189,6,TO,17
2010,104.8,24294,8,TO,17
2010,7.08,1075,10,TO,17
2010,105.56,154853,1,MA,21
2010,113.12,128998,2,MA,21
2010,112.12,129301,6,MA,21
2010,107.85,123872,8,MA,21
2010,1.33,868,10,MA,21
2010,54.31,51780,1,PI,22
2010,99.86,49411,2,PI,22
2010,96.98,47857,6,PI,22
2010,98.1,48739,8,PI,22
2010,0.66,58,10,PI,22
2010,2.46,181,13,PI,22
2010,97.67,140053,1,CE,23
2010,107.49,133300,2,CE,23
2010,0.37,217,6,CE,23
2010,106.23,130780,8,CE,23
2010,25.01,30280,10,CE,23
2010,3.21,1977,13,CE,23
2010,74.67,55014,1,RN,24
2010,102.74,46472,2,RN,24
2010,0.69,66,6,RN,24
2010,101.18,46096,8,RN,24
2010,2.53,358,10,RN,24
2010,58.15,65785,1,PB,25
2010,105.05,60780,2,PB,25
2010,18.04,191,6,PB,25
2010,100.36,58850,8,PB,25
2010,9.12,303,10,PB,25
2010,43.84,18702,13,PB,25
2010,82.03,152554,1,PE,26
2010,105.87,144905,2,PE,26
2010,2.66,407,6,PE,26
2010,102.12,140043,8,PE,26
2010,2.67,2953,10,PE,26
2010,98.82,56336,1,AL,27
2010,104.77,54905,2,AL,27
2010,1.64,149,6,AL,27
2010,101.02,53580,8,AL,27
2010,3.22,1654,10,AL,27
2010,7.77,3690,13,AL,27
2010,90.35,31892,1,SE,28
2010,102.94,34977,2,SE,28
2010,0.18,26,6,SE,28
2010,102.06,34597,8,SE,28
2010,0.43,31,10,SE,28
2010,90.88,231351,1,BA,29
2010,102.8,210246,2,BA,29
2010,99.2,205140,6,BA,29
2010,100.27,205540,8,BA,29
2010,62.15,140217,10,BA,29
2010,85.31,257245,1,MG,31
2010,115.83,255981,2,MG,31
2010,108.33,241446,6,MG,31
2010,109.72,244257,8,MG,31
2010,143.1,329122,10,MG,31
2010,90.83,54992,1,ES,32
2010,108.64,52047,2,ES,32
2010,2.64,529,6,ES,32
2010,105.62,51052,8,ES,32
2010,24.53,13079,10,ES,32
2010,50.01,22981,13,ES,32
2010,112.35,234528,1,RJ,33
2010,108.53,199592,2,RJ,33
2010,3.16,765,6,RJ,33
2010,104.52,195513,8,RJ,33
2010,9.37,18072,10,RJ,33
2010,85.65,607038,1,SP,35
2010,104.92,573280,2,SP,35
2010,69.91,114673,6,SP,35
2010,103.83,572223,8,SP,35
2010,6.44,63632,10,SP,35
2010,100.74,154864,1,PR,41
2010,105.4,149422,2,PR,41
2010,90.86,106851,6,PR,41
2010,102.57,145876,8,PR,41
2010,3.43,6353,10,PR,41
2010,39.07,52743,13,PR,41
2010,89.86,86300,1,SC,42
2010,106.31,82690,2,SC,42
2010,67.8,19999,6,SC,42
2010,104.4,82389,8,SC,42
2010,4.45,4764,10,SC,42
2010,95.06,128689,1,RS,43
2010,102.57,123041,2,RS,43
2010,56.28,39181,6,RS,43
2010,101.26,121568,8,RS,43
2010,4.32,3741,10,RS,43
2010,92.34,42367,1,MS,50
2010,107.55,40405,2,MS,50
2010,102.02,37683,6,MS,50
2010,103.98,38791,8,MS,50
2010,98.53,47812,1,MT,51
2010,110.2,47435,2,MT,51
2010,103.78,45349,6,MT,51
2010,108.99,46794,8,MT,51
2010,3.96,811,10,MT,51
2010,10.94,4565,13,MT,51
2010,105.21,103479,1,GO,52
2010,109.99,89406,2,GO,52
2010,106.64,89424,6,GO,52
2010,106.15,85312,8,GO,52
2010,5.54,7724,10,GO,52
2010,113.36,49799,1,DF,53
2010,104.56,17536,15,AC,12
2010,64.36,11252,18,AC,12
2010,93.93,15510,20,AC,12
2010,102.44,16330,22,AC,12
2010,94.01,69942,15,AM,13
2010,49.76,44380,18,AM,13
2010,99.2,70596,20,AM,13
2010,110.57,75715,22,AM,13
2011,99.29,88693,1,AM,13
