cod_ibge,nome,porcentagem_pop_urbana_2010,densidade_demografica_2010,area_km2
1720150,SÃO FÉLIX DO TOCANTINS,64.79,0.75,1913.11
1720200,SÃO MIGUEL DO TOCANTINS,24.3,26.28,406.957
1720259,SÃO SALVADOR DO TOCANTINS,54.57,2.05,1424.753
1720309,SÃO SEBASTIÃO DO TOCANTINS,76.65,14.91,289.597
1720499,SÃO VALÉRIO,62.13,1.74,2520.465
1720655,SILVANÓPOLIS,80.13,4.03,1258.771
1720804,SÍTIO NOVO DO TOCANTINS,53.29,28.23,307.095
1720853,SUCUPIRA,63.49,1.7,1018.222
1100049,CACOAL,78.81,20.72,3793
1100056,CEREJEIRAS,84.67,6.12,2783.3
3132909,ITAMOGI,74.97,42.46,243.714
3133006,ITAMONTE,68.64,32.43,431.792
1101559,TEIXEIRÓPOLIS,35.11,10.63,459.978
1101609,THEOBROMA,18.57,4.85,2197.413
1720903,TAGUATINGA,70.61,6.18,2341.919
1720937,TAIPAS DO TOCANTINS,80.05,1.74,1105.303
1720978,TALISMÃ,53.2,1.19,2155.503
1100064,COLORADO DO OESTE,73.46,12.81,1451.06
1100072,CORUMBIARA,29.49,2.87,3060.321
1100080,COSTA MARQUES,54.81,2.74,4987.177
1100098,ESPIGÃO D'OESTE,71.74,6.36,4518.038
1100106,GUAJARÁ-MIRIM,84.52,1.68,24856.877
1100114,JARU,67.53,17.66,2944.128
1100122,JI-PARANÁ,89.92,16.91,6896.649
1100130,MACHADINHO D'OESTE,51.94,3.66,8509.27
1100148,NOVA BRASILÂNDIA D'OESTE,42.17,17.2,1703.008
1721000,PALMAS,97.11,102.9,2227.329
1721109,TOCANTÍNIA,43.87,2.59,2609.775
1721208,TOCANTINÓPOLIS,80.99,21,1083.6
1721257,TUPIRAMA,59.09,2.21,706.883
1721307,TUPIRATINS,50.79,2.34,889.126
1722081,WANDERLÂNDIA,53.44,8,1365.431
1722107,XAMBIOÁ,84.8,9.68,1190.489
2100055,AÇAILÂNDIA,75.2,17.92,5805.159
2910750,FÁTIMA,39.2,49.11,364.419
2910776,FEIRA DA MATA,52.4,3.71,1176.111
2910800,FEIRA DE SANTANA,91.7,416.03,1304.425
2910859,FILADÉLFIA,53.9,29.36,579.686
3500402,ÁGUAS DA PRATA,89.28,53.05,142.673
4220000,BALNEÁRIO RINCÃO,0,0,63.42
4300034,ACEGUÁ,24.1,2.84,1551.339
4300059,ÁGUA SANTA,38.88,12.76,291.503
4300109,AGUDO,41.2,31.19,534.624
4300208,AJURICABA,56.62,22.44,322.674
4300307,ALECRIM,30.73,22.38,316.394
4300406,ALEGRETE,89.62,9.95,7800.428
4300455,ALEGRIA,36.85,24.91,172.794
4300471,ALMIRANTE TAMANDARÉ DO SUL,40.59,7.79,265.042
4300505,ALPESTRE,27.54,24.42,325.979
4300554,ALTO ALEGRE,40.21,16.15,115.335
5106802,PORTO DOS GAÚCHOS,50.7,0.78,6846.668
1100262,RIO CRESPO,32.09,1.93,1717.64
1100288,ROLIM DE MOURA,81.8,34.74,1457.811
3133600,ITAPEVA,52.07,48.85,177.347
3302502,MAGÉ,94.68,585.13,390.775
