ano,numero_equipes_esf,numero_equipes_equivalentes_esf,cobertura_esf,cobertura_ab,municipio_cod_ibge
2010,5,0,100,100,1200013
2010,2,0,100,100,1200054
2010,6,2,100,100,1200104
2010,2,0,100,100,1200138
2010,3,0,100,100,1200179
2010,21,3,94.09,100,1200203
2010,6,0,100,100,1200252
2010,5,0,53.47,53.47,1200302
2010,2,0,100,100,1200328
2010,5,0,100,100,1200336
2010,2,0,91.94,91.94,1200344
2010,4,0,96.67,96.67,1200351
2010,7,0,100,100,1200385
2010,5,0,100,100,1200807
2010,2,0,77.92,77.92,1200393
2010,26,24,29.32,52.81,1200401
2010,3,0,76.89,76.89,1200427
2010,2,0,100,100,1200435
2010,10,0,95.39,95.39,1200500
2010,8,0,100,100,1200450
2010,10,0,100,100,1200609
2010,3,1,68.64,88.53,1200708
2010,5,0,86.3,86.3,2700102
2010,7,0,100,100,2700201
2010,49,11,80.3,95.26,2700300
2010,15,0,97.6,97.6,2700409
2010,6,3,100,100,2700508
2010,3,0,100,100,2700607
2010,7,0,100,100,2700706
2010,2,0,100,100,2700805
2010,3,0,100,100,2700904
2010,11,0,100,100,2701001
2010,5,1,100,100,2701100
2010,4,0,100,100,2701209
2010,8,0,100,100,2701308
2010,2,0,100,100,2701357
2010,5,2,36.54,48.36,2701407
2010,4,0,100,100,2701506
2010,5,0,93.77,93.77,2701605
2010,8,0,100,100,2701704
2010,2,0,81.53,81.53,2701803
2010,2,0,97.55,97.55,2701902
2010,4,0,100,100,2702009
2010,7,0,100,100,2702108
2010,2,0,100,100,2702207
2010,15,0,96.97,96.97,2702306
2010,7,0,100,100,2702355
2010,8,0,56.95,56.95,2702405
2010,4,0,100,100,2702504
2010,7,0,100,100,2702553
2010,7,0,100,100,2702603
2010,2,0,100,100,2702702
2010,3,0,84.21,84.21,2702801
2010,13,0,100,100,2702900
2010,6,0,100,100,2703007
2010,11,0,100,100,2703106
2010,8,2,100,100,2703205
2010,5,0,94.96,94.96,2703304
2010,3,0,100,100,2703403
2010,3,0,100,100,2703502
2010,3,0,100,100,2703601
2010,3,0,100,100,2703700
2010,5,0,100,100,2703759
2010,8,0,100,100,2703809
2010,2,0,100,100,2703908
2010,10,1,100,100,2704005
2010,6,0,100,100,2704104
2010,8,0,100,100,2704203
2010,73,39,26.9,39.23,2704302
2010,7,0,100,100,2704401
2010,2,0,100,100,2704906
2010,9,0,100,100,2704500
2010,4,0,100,100,2704609
2010,15,2,100,100,2704708
2010,5,0,100,100,2704807
2010,6,0,81.79,81.79,2705002
2010,10,1,100,100,2705101
2010,6,0,100,100,2705200
2010,2,0,100,100,2705309
2010,3,0,100,100,2705408
2010,10,0,100,100,2705507
2010,4,0,100,100,2705606
2010,7,0,100,100,2705705
2010,3,0,100,100,2705804
2010,2,0,100,100,2705903
2010,4,0,100,100,2706000
2010,3,1,89.97,100,2706109
2010,2,0,100,100,2706208
2010,22,0,100,100,2706307
2010,7,0,98.43,98.43,2706406
2010,5,0,100,100,2706422
2010,2,0,67.5,67.5,2706448
2010,6,0,100,100,2706505
2010,3,0,100,100,2706604
2010,20,0,100,100,2706703
2010,6,0,100,100,2706802
2010,13,0,100,100,2706901
2010,1,0,100,100,2707008
2010,7,0,96.19,96.19,2707107
2010,3,0,83.05,83.05,2707206
2010,10,0,100,100,2707305
2010,4,0,100,100,2707404
2010,7,1,100,100,2707503
2010,5,0,100,100,2707602
2010,18,2,91.6,100,2707701
2010,3,0,100,100,2707800
2010,3,0,100,100,2707909
2010,9,2,71.05,81.7,2708006
2010,5,0,100,100,2708105
2010,3,0,100,100,2708204
2010,8,0,100,100,2708303
2010,10,0,100,100,2708402
2010,11,1,100,100,2708501
2010,14,3,89.34,100,2708600
2010,3,0,100,100,2708709
2010,9,0,96.49,96.49,2708808
2010,6,0,100,100,2708907
2010,5,0,100,100,2708956
2010,3,0,100,100,2709004
2010,7,1,100,100,2709103
2010,15,0,100,100,2709152
2010,8,0,100,100,2709202
2010,13,3,71.5,83.46,2709301
2010,5,0,64.29,64.29,2709400
2010,3,0,76.29,76.29,1300029
2010,2,0,78.16,78.16,1300060
2010,3,0,100,100,1300086
2010,4,0,93.95,93.95,1300102
2010,4,0,74.21,74.21,1300144
2010,2,0,46.89,46.89,1300201
2010,13,0,100,100,1300300
2010,1,0,13.58,13.58,1300409
2010,4,0,49,49,1300508
2010,5,0,55.3,55.3,1300607
2010,3,0,70.38,70.38,1300631
2010,2,0,49.31,49.31,1300680
2010,6,0,66.3,66.3,1300706
2010,10,0,100,100,1300805
2010,5,0,100,100,1300839
2010,3,0,86.63,86.63,1300904
2010,3,0,39.52,39.52,1301001
2010,9,0,95.13,95.13,1301100
2010,5,1,69.83,81.97,1301159
2010,12,0,61.8,61.8,1301209
2010,5,0,100,100,1301308
2010,7,0,78.15,78.15,1301407
2010,3,0,58.76,58.76,1301506
2010,6,1,100,100,1301605
2010,4,0,91.81,91.81,1301654
