quantidade_estabelecimentos,municipio_cod_ibge,ano
2,1101484,2009
10,1101492,2009
4,1100320,2009
4,1101500,2009
1,1101559,2009
1,1101609,2009
3,1101708,2009
1,1101757,2009
4,1101807,2009
25,1100304,2009
8,1200013,2009
6,1200054,2009
12,1200104,2009
2,1200138,2009
5,1200179,2009
39,1200203,2009
9,1200252,2009
10,1200302,2009
5,1200328,2009
15,1200336,2009
5,1200344,2009
7,1200351,2009
10,1200385,2009
6,1200807,2009
4,1200393,2009
91,1200401,2009
6,1200427,2009
4,1200435,2009
14,1200500,2009
7,1200450,2009
14,1200609,2009
9,1200708,2009
5,1300029,2009
2,1300060,2009
5,1300086,2009
3,1300102,2009
6,1300144,2009
3,1300201,2009
10,1300300,2009
10,1300409,2009
6,1300508,2009
6,1300607,2009
2,1300631,2009
3,1300680,2009
7,1300706,2009
6,1300805,2009
9,1300839,2009
3,1300904,2009
6,1301001,2009
16,1301100,2009
8,1301159,2009
23,1301209,2009
9,1301308,2009
5,1301407,2009
7,1301506,2009
5,1301605,2009
3,1301654,2009
10,1301704,2009
6,1301803,2009
13,1301852,2009
11,1301902,2009
3,1301951,2009
4,1302009,2009
6,1302108,2009
3,1302207,2009
6,1302306,2009
14,1302405,2009
24,1302504,2009
3,1302553,2009
299,1302603,2009
13,1302702,2009
7,1302801,2009
5,1302900,2009
5,1303007,2009
5,1303106,2009
6,1303205,2009
7,1303304,2009
17,1303403,2009
8,1303502,2009
20,1303536,2009
11,1303569,2009
2,1303601,2009
5,1303700,2009
22,1303809,2009
4,1303908,2009
5,1303957,2009
6,1304005,2009
10,1304062,2009
8,1304104,2009
30,1304203,2009
4,1304237,2009
4,1304260,2009
7,1304302,2009
5,1304401,2009
31,1400050,2009
26,1400027,2009
56,1400100,2009
21,1400159,2009
18,1400175,2009
23,1400209,2009
10,1400233,2009
4,1400282,2009
11,1400308,2009
58,1400407,2009
66,1400456,2009
6,1400472,2009
2,1400506,2009
3,1400605,2009
53,1400704,2009
44,1500107,2009
4,1500131,2009
16,1500206,2009
22,1500305,2009
11,1500347,2009
6,1500404,2009
23,1500503,2009
43,1500602,2009
7,1500701,2009
45,1500800,2009
5,1500859,2009
17,1500909,2009
9,1500958,2009
6,1501006,2009
5,1501105,2009
11,1501204,2009
6,1501253,2009
29,1501303,2009
100,1501402,2009
10,1501451,2009
15,1501501,2009
8,1501576,2009
4,1501600,2009
20,1501709,2009
11,1501725,2009
10,1501758,2009
16,1501782,2009
26,1501808,2009
9,1501907,2009
14,1502004,2009
5,1501956,2009
32,1502103,2009
13,1502152,2009
23,1502202,2009
16,1502301,2009
48,1502400,2009
14,1502509,2009
10,1502608,2009
17,1502707,2009
7,1502756,2009
9,1502764,2009
11,1502772,2009
9,1502806,2009
6,1502855,2009
16,1502905,2009
8,1502939,2009
11,1502954,2009
8,1503002,2009
6,1503044,2009
6,1503077,2009
14,1503093,2009
26,1503101,2009
14,1503200,2009
11,1503309,2009
14,1503408,2009
11,1503457,2009
12,1503507,2009
21,1503606,2009
11,1503705,2009
13,1503754,2009
14,1503804,2009
13,1503903,2009
18,1504000,2009
12,1504059,2009
9,1504109,2009
31,1504208,2009
20,1504307,2009
14,1504406,2009
18,1504422,2009
9,1504455,2009
9,1504505,2009
13,1504604,2009
19,1504703,2009
37,1504802,2009
12,1504901,2009
5,1504950,2009
7,1504976,2009
6,1505007,2009
13,1505031,2009
29,1505064,2009
16,1505106,2009
12,1505205,2009
21,1505304,2009
7,1505403,2009
13,1505437,2009
13,1505486,2009
6,1505494,2009
15,1505502,2009
20,1505536,2009
8,1505551,2009
5,1505601,2009
11,1505635,2009
4,1505650,2009
7,1505700,2009
12,1505809,2009
14,1505908,2009
14,1506005,2009
7,1506104,2009
5,1506112,2009
17,1506138,2009
8,1506161,2009
16,1506187,2009
7,1506195,2009
13,1506203,2009
15,1506302,2009
9,1506351,2009
2,1506401,2009
16,1506500,2009
9,1506559,2009
8,1506583,2009
6,1506609,2009
7,1506708,2009
86,1506807,2009
3,1506906,2009
16,1507003,2009
7,1507102,2009
10,1507151,2009
9,1507201,2009
33,1507300,2009
9,1507409,2009
16,1507458,2009
4,1507466,2009
4,1507474,2009
12,1507508,2009
22,1507607,2009
10,1507706,2009
5,1507755,2009
9,1507805,2009
8,1507904,2009
6,1507953,2009
5,1507961,2009
13,1507979,2009
8,1508001,2009
13,1508035,2009
12,1508050,2009
19,1508084,2009
28,1508100,2009
6,1508126,2009
