idhm,idhm_renda,idhm_longevidade,idhm_educacao,municipio_cod_ibge,ano
0.604,0.584,0.808,0.466,1200013,2010
0.588,0.578,0.77,0.456,1200054,2010
0.614,0.619,0.77,0.485,1200104,2010
0.589,0.603,0.772,0.439,1200138,2010
0.575,0.601,0.794,0.398,1200179,2010
0.664,0.648,0.776,0.582,1200203,2010
0.653,0.654,0.771,0.553,1200252,2010
0,0,0,0,1200302,2010
0.469,0.499,0.731,0.283,1200328,2010
0.625,0.58,0.77,0.546,1200336,2010
0.551,0.586,0.767,0.373,1200344,2010
0.501,0.479,0.726,0.361,1200351,2010
0.622,0.593,0.786,0.517,1200385,2010
0.576,0.593,0.771,0.418,1200807,2010
0.532,0.521,0.726,0.397,1200393,2010
0.727,0.729,0.798,0.661,1200401,2010
0.567,0.518,0.736,0.477,1200427,2010
0.517,0.519,0.781,0.34,1200435,2010
0.64,0.649,0.786,0.513,1200500,2010
0.603,0.593,0.81,0.456,1200450,2010
0.539,0.554,0.72,0.392,1200609,2010
0.599,0.621,0.773,0.448,1200708,2010
0.549,0.527,0.728,0.432,2700102,2010
0.568,0.546,0.756,0.444,2700201,2010
0.649,0.638,0.78,0.549,2700300,2010
0.561,0.545,0.752,0.431,2700409,2010
0.557,0.552,0.732,0.428,2700508,2010
0.615,0.638,0.767,0.475,2700607,2010
0.594,0.563,0.752,0.496,2700706,2010
0.593,0.587,0.764,0.464,2700805,2010
0.517,0.507,0.725,0.376,2700904,2010
0.604,0.56,0.758,0.518,2701001,2010
0.513,0.534,0.699,0.362,2701100,2010
0.531,0.559,0.697,0.384,2701209,2010
0.562,0.542,0.691,0.473,2701308,2010
0.559,0.55,0.729,0.435,2701357,2010
0.57,0.531,0.742,0.47,2701407,2010
0.524,0.502,0.739,0.387,2701506,2010
0.506,0.504,0.719,0.357,2701605,2010
0.573,0.554,0.743,0.456,2701704,2010
0.526,0.517,0.709,0.398,2701803,2010
0.575,0.537,0.737,0.481,2701902,2010
0.533,0.52,0.73,0.398,2702009,2010
0,0,0,0,2702108,2010
0.517,0.548,0.693,0.363,2702207,2010
0.626,0.591,0.769,0.541,2702306,2010
0.525,0.517,0.687,0.408,2702355,2010
0.612,0.599,0.774,0.494,2702405,2010
0.532,0.513,0.762,0.385,2702504,2010
0.534,0.515,0.72,0.41,2702553,2010
0.533,0.512,0.736,0.402,2702603,2010
0.565,0.55,0.708,0.462,2702702,2010
0.527,0.528,0.693,0.4,2702801,2010
0.536,0.498,0.762,0.405,2702900,2010
0.518,0.517,0.684,0.393,2703007,2010
0.564,0.547,0.774,0.424,2703106,2010
0.568,0.556,0.771,0.428,2703205,2010
0.484,0.501,0.718,0.316,2703304,2010
0.583,0.543,0.759,0.481,2703403,2010
0.548,0.532,0.755,0.41,2703502,2010
0.57,0.56,0.735,0.451,2703601,2010
0.552,0.532,0.701,0.451,2703700,2010
0.556,0.517,0.772,0.43,2703759,2010
0.531,0.509,0.764,0.386,2703809,2010
0.562,0.573,0.715,0.434,2703908,2010
0.575,0.586,0.714,0.454,2704005,2010
0.552,0.541,0.703,0.443,2704104,2010
0.58,0.575,0.742,0.457,2704203,2010
0.721,0.739,0.799,0.635,2704302,2010
0.566,0.566,0.755,0.424,2704401,2010
0.574,0.556,0.766,0.443,2704906,2010
0.569,0.539,0.742,0.46,2704500,2010
0.642,0.641,0.793,0.52,2704609,2010
0.597,0.581,0.751,0.487,2704708,2010
0.577,0.54,0.766,0.465,2704807,2010
0.504,0.506,0.685,0.369,2705002,2010
0.584,0.541,0.777,0.473,2705101,2010
