ano,pop,municipio_cod_ibge
2010,12538,1200013
2010,6072,1200054
2010,21398,1200104
2010,8471,1200138
2010,8798,1200179
2010,78507,1200203
2010,15100,1200252
2010,32412,1200302
2010,6577,1200328
2010,15206,1200336
2010,7981,1200344
2010,14227,1200351
2010,17209,1200385
2010,14880,1200807
2010,9176,1200393
2010,336038,1200401
2010,14389,1200427
2010,4691,1200435
2010,38029,1200500
2010,20179,1200450
2010,35590,1200609
2010,16091,1200708
2010,19377,2700102
2010,17424,2700201
2010,214006,2700300
2010,44322,2700409
2010,14230,2700508
2010,7574,2700607
2010,17076,2700706
2010,4551,2700805
2010,7030,2700904
2010,25776,2701001
2010,10583,2701100
2010,10195,2701209
2010,20409,2701308
2010,6598,2701357
2010,50816,2701407
2010,9032,2701506
2010,17250,2701605
2010,17077,2701704
2010,8290,2701803
2010,7146,2701902
2010,10926,2702009
2010,20019,2702108
2010,5526,2702207
2010,52130,2702306
2010,22641,2702355
2010,48096,2702405
2010,10880,2702504
2010,17251,2702553
2010,21321,2702603
2010,4345,2702702
2010,12325,2702801
2010,36600,2702900
2010,15149,2703007
2010,25188,2703106
2010,23292,2703205
2010,17898,2703304
2010,5413,2703403
2010,6997,2703502
2010,7754,2703601
2010,5558,2703700
2010,12029,2703759
2010,22575,2703809
2010,4202,2703908
2010,23836,2704005
2010,18250,2704104
2010,26992,2704203
2010,932748,2704302
2010,18897,2704401
2010,3652,2704906
2010,28749,2704500
2010,10284,2704609
2010,45977,2704708
2010,13619,2704807
2010,24698,2705002
2010,23785,2705101
2010,15682,2705200
2010,5275,2705309
2010,6935,2705408
2010,26710,2705507
2010,12060,2705606
2010,20364,2705705
2010,8491,2705804
2010,4957,2705903
2010,11047,2706000
2010,10912,2706109
2010,5112,2706208
2010,70368,2706307
2010,23811,2706406
2010,10264,2706422
2010,11347,2706448
2010,14763,2706505
2010,7426,2706604
2010,60378,2706703
2010,17203,2706802
2010,33305,2706901
2010,2866,2707008
2010,23045,2707107
2010,13872,2707206
2010,25708,2707305
2010,8429,2707404
2010,19334,2707503
2010,11480,2707602
2010,68481,2707701
2010,6656,2707800
2010,6891,2707909
2010,44932,2708006
2010,10961,2708105
2010,6718,2708204
2010,22686,2708303
2010,30088,2708402
2010,32412,2708501
2010,54577,2708600
2010,7163,2708709
2010,32010,2708808
2010,14603,2708907
2010,13047,2708956
2010,6122,2709004
2010,19020,2709103
2010,41152,2709152
2010,25702,2709202
2010,62358,2709301
2010,25407,2709400
2010,8069,1600105
2010,9000,1600204
2010,4696,1600212
2010,5802,1600238
2010,4265,1600253
2010,39942,1600279
2010,398204,1600303
2010,17032,1600402
2010,20509,1600501
2010,10772,1600154
2010,16809,1600535
2010,3793,1600550
2010,101262,1600600
2010,4380,1600055
2010,12563,1600709
2010,12428,1600808
2010,14088,1300029
2010,9467,1300060
2010,10214,1300086
2010,16317,1300102
2010,18007,1300144
2010,15153,1300201
2010,32135,1300300
2010,25718,1300409
2010,27355,1300508
2010,33411,1300607
2010,15486,1300631
2010,14979,1300680
2010,30632,1300706
2010,34961,1300805
2010,10975,1300839
2010,12738,1300904
2010,25774,1301001
2010,32734,1301100
2010,23930,1301159
2010,75965,1301209
2010,23206,1301308
2010,30665,1301407
2010,16338,1301506
2010,22817,1301605
2010,13974,1301654
2010,44227,1301704
2010,22254,1301803
2010,40781,1301852
2010,86839,1301902
2010,8038,1301951
2010,8211,1302009
2010,7326,1302108
2010,10802,1302207
2010,17992,1302306
2010,37701,1302405
2010,85141,1302504
2010,22801,1302553
2010,1802014,1302603
2010,47017,1302702
2010,17528,1302801
2010,52236,1302900
2010,18278,1303007
2010,30696,1303106
2010,14723,1303205
2010,21451,1303304
2010,102033,1303403
2010,18166,1303502
2010,27175,1303536
2010,25719,1303569
2010,18146,1303601
2010,24481,1303700
2010,37896,1303809
2010,31422,1303908
2010,10705,1303957
2010,8444,1304005
2010,52272,1304062
2010,19077,1304104
2010,61453,1304203
2010,17079,1304237
2010,11891,1304260
2010,17094,1304302
2010,17837,1304401
2010,8316,2900108
2010,17064,2900207
2010,14653,2900306
2010,15702,2900355
2010,15731,2900405
2010,4602,2900603
2010,141949,2900702
2010,21271,2900801
2010,6357,2900900
2010,34351,2901007
2010,25190,2901106
2010,15961,2901155
2010,25516,2901205
2010,13960,2901304
2010,14414,2901353
2010,14073,2901403
2010,10242,2901502
2010,17072,2901601
2010,11554,2901700
2010,11015,2901809
2010,17731,2901908
2010,7459,2901957
2010,11561,2902054
2010,13743,2902005
2010,51651,2902104
2010,10036,2902203
2010,10392,2902252
2010,8599,2902302
2010,13595,2902401
2010,13850,2902500
2010,20060,2902609
2010,11814,2902658
2010,49325,2902708
2010,21187,2902807
2010,34788,2902906
2010,13987,2903003
2010,6313,2903102
2010,137427,2903201
2010,13612,2903235
2010,6453,2903300
2010,14191,2903276
2010,21798,2903409
2010,16021,2903508
2010,14836,2903607
2010,15411,2903706
2010,17991,2903805
2010,63480,2903904
2010,10113,2903953
2010,13695,2904001
2010,14834,2904050
2010,22037,2904100
2010,11154,2904209
2010,14282,2904308
2010,11077,2904407
2010,10717,2904506
2010,64602,2904605
2010,18605,2904704
2010,19600,2904753
2010,11420,2904803
2010,17327,2904852
2010,32026,2904902
2010,22236,2905008
2010,10368,2905107
2010,13639,2905156
2010,47515,2905206
2010,17209,2905305
2010,15374,2905404
2010,12491,2905503
2010,31472,2905602
2010,242970,2905701
2010,35180,2905800
2010,28090,2905909
2010,66616,2906006
2010,9410,2906105
2010,24067,2906204
2010,32336,2906303
2010,8895,2906402
2010,83158,2906501
2010,13210,2906600
2010,27918,2906709
2010,32908,2906808
2010,15732,2906824
2010,11527,2906857
2010,26577,2906873
2010,10222,2906899
2010,21414,2906907
2010,8899,2907004
2010,28380,2907103
2010,64940,2907202
2010,25408,2907301
2010,2612,2907400
2010,51077,2907509
2010,8843,2907558
2010,17013,2907608
2010,10734,2907707
2010,32300,2907806
2010,15755,2907905
2010,20964,2908002
2010,18153,2908101
2010,20391,2908200
2010,17889,2908309
2010,62040,2908408
2010,30123,2908507
2010,23620,2908606
2010,16898,2908705
2010,4663,2908804
2010,22401,2908903
2010,8168,2909000
2010,14307,2909109
2010,17066,2909208
2010,31249,2909307
2010,13636,2909406
2010,5041,2909505
2010,20046,2909604
2010,13280,2909703
2010,58606,2909802
2010,32168,2909901
2010,12836,2910008
2010,66440,2910057
2010,11355,2910107
2010,3874,2910206
2010,7947,2910305
2010,23766,2910404
2010,39872,2910503
2010,10859,2900504
2010,32802,2910602
2010,56289,2910701
2010,100196,2910727
2010,17652,2910750
2010,6184,2910776
2010,556642,2910800
2010,16740,2910859
2010,5384,2910909
2010,10660,2911006
2010,22528,2911105
2010,30336,2911204
2010,4561,2911253
