ano,vacina_id,cobertura,doses,regiao_cod_ibge
2010,1,102.95,364122,1
2010,1,83.6,939618,2
2010,1,93.54,1153803,3
2010,1,95.22,369853,4
2010,1,102.36,243457,5
2010,2,105.07,304948,1
2010,2,104.96,863994,2
2010,2,109.48,1080900,3
2010,2,104.76,355153,4
2010,2,105.03,217829,5
2010,6,98.36,295472,1
2010,6,36.88,383354,2
2010,6,46.01,357413,3
2010,6,71.65,166031,4
2010,6,78.85,173759,5
2010,8,101.95,301080,1
2010,8,102.13,842097,2
2010,8,105.92,1063045,3
2010,8,102.74,349833,4
2010,8,102.59,210981,5
2010,10,3.93,4505,1
2010,10,11.9,176722,2
2010,10,45.86,423905,3
2010,10,4.07,14858,4
2010,10,8.4,19114,5
2010,13,16.06,25485,1
2010,13,17.32,94898,2
2010,13,39.64,404535,3
2010,13,42.2,119448,4
2010,13,24.9,47563,5
2010,15,105.92,307814,1
2010,15,105.09,864801,2
2010,15,109.84,1115912,3
2010,15,104.3,354431,4
2010,15,105.93,218108,5
2010,18,74.81,211368,1
2010,18,84.67,677259,2
2010,18,99.82,986951,3
2010,18,97.64,324439,4
2010,18,94.74,191516,5
2010,20,103.43,303405,1
2010,20,104.95,863574,2
2010,20,109.41,1076817,3
2010,20,104.66,353364,4
2010,20,104.95,215364,5
2010,22,110.85,322487,1
2010,22,105.55,905072,2
2010,22,106.9,1076587,3
2010,22,102.26,352320,4
2010,22,105.68,221718,5
2011,1,94.82,358694,1
2011,1,82.31,944056,2
2011,1,92.59,1180326,3
2011,1,96.24,383195,4
2011,1,99.32,242492,5
2011,2,101,297512,1
2011,2,105.02,867692,2
2011,2,111.05,1118780,3
2011,2,106.38,366412,4
2011,2,104.12,218496,5
2011,6,95.33,291882,1
2011,6,35.64,374767,2
2011,6,48.54,374499,3
2011,6,80.24,186285,4
2011,6,81.06,182422,5
2011,8,98.7,294667,1
2011,8,102.77,845738,2
2011,8,107.98,1100220,3
2011,8,104.03,360013,4
2011,8,101.95,213604,5
2011,10,88.98,244031,1
2011,10,96.09,807968,2
2011,10,123.01,1292293,3
2011,10,133.06,445466,4
2011,10,120.2,253343,5
2011,13,69.59,184183,1
2011,13,80.95,645830,2
2011,13,99.71,978848,3
2011,13,104.44,350245,4
2011,13,92.78,192374,5
2011,15,101.26,303540,1
2011,15,105.22,871185,2
2011,15,112.15,1159214,3
2011,15,106.18,364385,4
2011,15,105.8,220155,5
2011,18,76.75,224015,1
2011,18,88.78,715680,2
2011,18,102.98,1039935,3
2011,18,99.27,332087,4
2011,18,95.12,195574,5
2011,20,98.93,295233,1
2011,20,104.42,860651,2
2011,20,110.95,1113747,3
2011,20,106.31,364552,4
2011,20,103.54,217105,5
2011,22,103.92,317453,1
2011,22,103.23,908526,2
2011,22,107.37,1140253,3
2011,22,103.63,355782,4
2011,22,104.82,226865,5
2012,1,88.02,352305,1
2012,1,74.75,905322,2
2012,1,90.64,1169139,3
2012,1,93.99,377330,4
2012,1,98.99,239911,5
2012,2,94.76,282494,1
2012,2,95.88,804159,2
2012,2,103.87,1063551,3
2012,2,100.44,346578,4
2012,2,101.54,205048,5
2012,6,93,292641,1
2012,6,36.57,374040,2
2012,6,48.04,370544,3
2012,6,83.69,205103,4
2012,6,79.89,177960,5
2012,8,96.08,290266,1
2012,8,98.68,831887,2
2012,8,106.09,1089965,3
2012,8,102.1,353720,4
2012,8,104.02,218353,5
2012,10,92.86,273436,1
2012,10,95.85,814949,2
2012,10,104.07,1101706,3
2012,10,103.37,362091,4
2012,10,103.75,217735,5
2012,12,21.95,62574,1
